"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.8
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00046
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00106
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0026
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.0066
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.0132
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.02066
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.03122
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.04232
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.05308
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0638
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.07078
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0714
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0726
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0707
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0644
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.06112
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.05508
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.04794
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.04274
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.03594
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.03088
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.02582
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.02234
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.01836
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.015
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.01196
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00946
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00794
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.0063
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.00524
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00412
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.0036
