"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.1
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00044
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00396
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.01552
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.03856
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.06824
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.09588
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.11474
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.12096
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.11464
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.10252
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.08468
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0661
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.05094
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.03826
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.02688
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0184
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.01352
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00842
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.00634
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00354
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00274
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00158
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00112
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00078
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00044
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00034
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00016
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.0001
