"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.4
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00158
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00558
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.01526
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.02938
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.04898
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.06644
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.08322
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.09048
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.09452
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.09188
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.08476
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.07438
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.06348
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.05494
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.04394
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.03784
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.02814
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.02176
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0169
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.01202
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00894
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00672
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.0053
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0041
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00252
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00196
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.0014
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00088
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.0005
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.00046
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00032
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.00034
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.00036
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00002
