"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.1
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00048
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00432
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.01628
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.04294
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0772
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.10602
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.12574
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.12582
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.11764
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.09916
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.08148
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.05924
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.04588
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0317
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.02148
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.01518
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0103
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00606
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.00424
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00282
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00232
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00118
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00088
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00054
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00036
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00022
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00022
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00008
