"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00082
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00464
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.01638
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.03514
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.06088
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.08424
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.10196
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.10914
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.10784
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.1001
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.08456
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0713
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.05822
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.04396
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.03402
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.02504
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.01824
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.01278
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00934
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00664
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00446
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00298
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00224
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00154
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00112
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00064
